Ticker,Nombre,Índice,Precio,Market Cap (B),PER (Trailing),PER (Forward),PEG,EV/EBITDA,EV/Sales,P/S,P/B,P/FCF,Crec. Ventas YoY (%),Crec. EPS YoY (%),ROIC Aprox. (%),ROE (%),ROA (%),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),Debt/Equity,Current Ratio,Payout Ratio (%)
AAPL,Apple Inc.,Dow Jones Composite,309.35,4514.709504,35.72171,32.43169,2.55,27.01,9.718,9.671138,42.03125,41.91079560106689,16.400000000000002,28.7,93.00566797585624,148.75101,27.082002,48.653,32.623002,27.618998,0.78445,1.003,12.04
AMGN,Amgen Inc.,Dow Jones Composite,439.33,237.515849728,26.95276,18.007105,2.32,16.263,7.372,6.23483,20.320536,27.47237525839474,9.5,64.9,19.45002808601393,91.473,8.667,71.891,35.548002000000004,22.951000999999998,4.90281,1.371,60.870000000000005
AMZN,"Amazon.com, Inc.",Dow Jones Composite,258.63,2789.6643584,20.924759,24.890984,1.42,17.277,3.762,3.5964112,5.055712,866.5908796125428,19.6,242.3,12.328121709919593,30.558002000000002,6.589,50.77,13.689000000000002,17.44,0.45616999999999996,1.033,0.0
AXP,American Express Company,Dow Jones Composite,336.0,226.904096768,20.083683,16.70504,1.58,,3.388,3.1997533,6.616127,,12.8,11.0,23.897084432606654,34.377,3.7920002,62.33800000000001,20.32,16.141,1.7238,1.553,21.48
BA,Boeing Company (The),Dow Jones Composite,214.2,169.173549056,77.608696,51.97969,89.29,-68.409,2.111,1.8011305,27.760496,30.073291483500455,8.0,,0.008447538244452588,173.537,-1.984,4.71,0.0040000003,2.5910001,7.90875,1.138,0.0
CAT,"Caterpillar, Inc.",Dow Jones Composite,827.9,380.564832256,35.08051,25.646523,1.79,25.83,5.617,5.0925994,19.621738,75.37429928301746,24.0,68.2,22.349514707812816,56.972003,9.0299994,29.713,22.183001,14.511,2.32783,1.368,26.009999999999998
CRM,"Salesforce, Inc.",Dow Jones Composite,209.17,171.310235648,23.79636,13.479003,0.86,15.667,4.717,,5.0039473,10.349195693248868,13.3,52.2,11.357140474262833,16.908,5.702999999999999,77.643996,21.8,18.733,1.24282,0.786,19.559999
CSCO,"Cisco Systems, Inc.",Dow Jones Composite,111.04,437.656911872,32.85207,20.017342,1.02,24.273,7.14,6.9112816,8.719962,37.8334121604426,17.599999999999998,52.0,21.719082051311013,27.319,7.981000000000001,64.564,27.700999999999997,20.951,0.58731,0.931,49.85
CVX,Chevron Corporation,Dow Jones Composite,205.27,402.658328576,19.7946,15.547119,0.79,8.623,2.086,1.9230616,2.1205578,18.357724365196102,53.5,321.9,16.558889887440856,12.231,5.861000000000001,44.267,21.866,9.834,0.18959,1.252,67.17999999999999
DIS,Walt Disney Company (The),Dow Jones Composite,107.78,186.102300672,22.131416,14.485079,2.65,11.151,2.365,1.8824643,1.6946007,38.28969969198097,6.800000000000001,-48.3,10.004276192839813,8.01,4.8070002,37.595,19.301,8.6990006,0.39404000000000006,0.709,30.930000000000003
GS,"Goldman Sachs Group, Inc. (The)",Dow Jones Composite,1039.28,302.608613376,15.479298,14.038171,1.45,,1.026,4.4784465,2.8705506,,42.5,92.30000000000001,,16.902,1.0720001,82.075995,42.176998,31.039,7.25381,1.563,26.25
HD,"Home Depot, Inc. (The)",Dow Jones Composite,335.61,334.642315264,23.420097,20.921282,1.94,15.556,2.329,,20.075972,29.90347465934609,5.7,4.6,24.752966037180506,104.29599,12.547,33.206,14.288998999999999,8.41,3.76524,1.078,64.8
HON,Honeywell International Inc.,Dow Jones Composite,215.9,68.42734592,8.303846,21.604322,4.16,11.103,2.483,1.7980225,3.6914186,26.213608476482325,4.3,263.9,13.743646548140106,46.577,5.72,36.510999999999996,20.249,21.581,1.85369,1.211,36.14
IBM,International Business Machines,Dow Jones Composite,235.68,222.042226688,20.746479,17.905535,2.41,16.953,4.042,3.213579,6.4449787,18.42712308497405,1.0999999999999999,-1.7999999999999998,9.861927527115524,34.460998,5.3039998,58.098000000000006,16.548,15.522,1.8897,0.791,59.77
JNJ,Johnson & Johnson,Dow Jones Composite,270.24,651.250958336,31.062069,21.957342,4.79,19.486,6.939,6.6502357,7.658995,38.56950740415952,6.6000000000000005,-0.8999999999999999,19.93006131485948,25.741999999999997,8.595,68.14,29.189999999999998,21.482,0.57709,1.089,60.79
JPM,JP Morgan Chase & Co.,Dow Jones Composite,351.58,934.565052416,15.06341,14.059268,1.75,,4.146,5.0156984,2.6433194,,30.4,46.9,43.52100866516124,17.788999999999998,1.3599999999999999,0.0,50.394000000000005,34.921002,,,25.71
KO,Coca-Cola Company (The),Dow Jones Composite,91.1,391.962198016,27.19403,25.833857,4.35,24.827,8.419,7.819071,10.843947,75.10652965194988,6.7,16.900000000000002,21.56667357460505,42.054,9.401,61.888003000000005,34.873,28.558,1.1551900000000002,1.305,62.46000000000001
MCD,McDonald's Corporation,Dow Jones Composite,270.95,191.73548032,21.886106,19.35584,2.49,16.445,8.863,6.921359,-187.37898,30.617055512373643,3.6999999999999997,5.7,19.28219785044379,,13.25,57.382,46.485,31.72,,1.081,59.709999999999994
MMM,3M Company,Dow Jones Composite,178.96,92.29369344,31.618376,18.302162,1.82,15.444,3.979,3.665357,31.26485,14.534153678248442,2.5,32.800000000000004,37.45823364596661,81.891996,8.741999400000001,39.408,20.354,11.902001,4.37937,1.24,53.64
MRK,"Merck & Company, Inc.",Dow Jones Composite,152.55,376.36702208,119.179695,15.99137,14.56,14.658,6.357,5.653788,8.980926,24.807502309340535,5.1,,-0.14292339526662648,6.961,11.867999999999999,75.9,-0.241,4.7659997,1.2840799999999999,1.323,268.8
MSFT,Microsoft Corporation,Dow Jones Composite,483.24,3588.320657408,26.81687,20.49948,1.57,18.741,10.97,10.813438,8.112818,216.87592533969067,17.7,31.7,23.92601873353372,34.039003,14.088000000000001,67.944,45.111000000000004,40.305,0.29118,1.23,19.830000000000002
NKE,"Nike, Inc.",Dow Jones Composite,40.76,60.4674048,19.136148,17.790346,1.57,12.677,1.347,1.303233,4.066241,32.006035868048315,-1.0999999999999999,428.0,33.06099493901957,22.138001,6.970999999999999,43.245,12.687000000000001,6.6989996,0.74289,1.961,77.620006
NVDA,NVIDIA Corporation,Dow Jones Composite,214.72,5200.733011968,33.23839,16.482347,0.6,31.151,20.339,20.51644,26.60719,112.23988397227873,85.2,214.5,84.6915109374972,114.28799999999998,52.727000000000004,74.14499500000001,65.596,62.966,0.06555,3.441,0.61000003
PG,Procter & Gamble Company (The),Dow Jones Composite,144.68,336.901701632,21.594028,19.558777,4.14,14.64,4.164,3.8640842,6.304963,25.367433577771536,1.5,-15.5,19.3391657152209,30.290001999999998,10.7209995,50.873000000000005,22.084999,18.437,0.6448999999999999,0.677,64.33
SHW,Sherwin-Williams Company (The),Dow Jones Composite,346.59,84.137541632,32.061977,25.459904,2.63,20.892,4.03,3.4468048,21.698492,33.573935544741154,7.5,14.299999999999999,18.77470468852294,65.12400000000001,9.516,48.981997,18.124000000000002,11.013,3.8995800000000003,0.727,29.34
TRV,"The Travelers Companies, Inc.",Dow Jones Composite,363.58,75.833704448,9.79472,12.035629,2.36,6.955,1.63,1.5482901,2.2898638,5.132525409366093,0.3,57.099999999999994,24.699745990937153,26.511000000000003,4.775,34.730998,23.698,16.951999,0.27378,0.323,12.23
UNH,UnitedHealth Group Incorporated,Dow Jones Composite,390.11,350.160715776,24.753172,17.388168,1.2,14.974,0.887,0.77722645,3.586196,14.42638004638159,0.4,61.5,18.198725987262886,14.152999,4.871,19.723,7.132999600000001,3.1350000000000002,0.69211,0.777,57.52
V,Visa Inc.,Dow Jones Composite,371.04,692.74927104,31.153654,24.764399,1.66,22.273,15.567,15.571599,19.662956,33.951639137676004,14.399999999999999,10.2,55.046535814070275,61.19,19.11,97.725,66.130996,50.782000000000004,0.67821,0.985,22.129999
