Ticker,Nombre,Índice,Precio,PER (Trailing),PER (Forward),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),ROIC (%),ROE (%),ROA (%),Debt/Equity,Current Ratio,Market Cap (B)
SLDE,"Slide Insurance Holdings, Inc.",Small/Micro Cap (US),22.48,5.3779907,6.084885,67.93900000000001,46.375,40.016997,5383.36760964809,53.882,14.36,3.235,1.463,2.625927424
EVER,"EverQuote, Inc.",Small/Micro Cap (US),25.03,7.9713373,8.907474,97.646004,12.038,15.159,174.63405394238055,53.613997000000005,17.829000999999998,0.757,3.33,0.885393216
MGTX,MeiraGTx Holdings plc,Small/Micro Cap (US),14.97,15.925532,-10.769785,97.949,76.042,19.870001,126.34642798297172,72.16799999999999,38.651,52.053,3.758,1.437763584
LOGI,Logitech International S.A. - R,Small/Micro Cap (US),100.47,18.005377,16.525324,45.239,21.221,16.277,121.25452485587654,35.287997,14.206,3.588,2.311,14.386131968
INCY,Incyte Corporation,S&P 500,128.47,15.724602,14.416867,55.659000000000006,41.899,27.706,101.31422322466432,30.667,16.832,0.603,4.593,26.040580096
NUTX,Nutex Health Inc.,Small/Micro Cap (US),190.62,7.250665,9.376291,54.508,57.754004,21.249,79.94077618240605,64.556,33.317003,68.466,4.996,1.30536064
GOOG,Alphabet Inc.,S&P 500,341.7,17.11924,23.130396,60.897,34.033,54.771,75.10114161052928,48.676,12.958999,18.859,2.724,4178.969100288
ZM,"Zoom Communications, Inc.",Small/Micro Cap (US),107.47,15.4410925,17.043743,77.768,25.058000000000003,41.987,73.3924230706871,21.948,6.548,0.604,4.221,31.513667584
GOOGL,Alphabet Inc.,S&P 500,344.72,17.270542,23.27582,60.897,34.033,54.771,67.75258166633978,48.676,12.958999,18.859,2.724,4215.90335488
CARG,"CarGurus, Inc.",Small/Micro Cap (US),37.04,18.613066,12.326902,92.375,25.275,18.189,67.56664270747582,53.470004,25.02,70.035,1.85,3.299281664
EXEL,"Exelixis, Inc.",Small/Micro Cap (US),54.39,16.735384,13.084993,96.483004,39.513,35.331002,65.43085244182404,44.393003,23.974001,8.999,3.456,13.476846592
ITRN,Ituran Location and Control Ltd,Small/Micro Cap (US),50.8,16.126984,13.841961,49.953,22.672,16.281000000000002,65.26872934376016,30.189,13.886,1.843,2.029,1.006278976
WDC,Western Digital Corporation,S&P 500,462.09,18.417297,14.554231,48.851,43.608,72.94699999999999,62.22305211791641,130.853,20.758,13.436,1.329,166.602358784
AUPH,Aurinia Pharmaceuticals Inc,Small/Micro Cap (US),16.17,6.709543,15.159328,77.884,55.685,100.83699,57.91676177416453,66.117996,15.489,10.431,5.419,2.151437312
MAS,Masco Corporation,S&P 500,75.25,16.910112,16.145954,37.205002,23.645,11.614,55.1697035001718,5862.5,15.857,,1.865,14.83835392
MAKO,Mako Mining Corp,Small/Micro Cap (US),10.4,16.507936,,57.348,38.715,25.106,53.71610935424024,36.629,24.237,21.923,3.107,0.91110144
QTTB,Q32 Bio Inc.,Small/Micro Cap (US),15.84,4.858896,-15.529412,73.301005,39.938998,62.873000000000005,53.221600069485774,72.138,14.741999,5.001,20.301,0.471548352
HRMY,"Harmony Biosciences Holdings, I",Small/Micro Cap (US),39.93,12.556603,5.9718595,75.424004,34.183997,18.884,52.51078815299163,20.456,11.62,16.031,3.479,2.325379072
PBYI,Puma Biotechnology Inc,Small/Micro Cap (US),9.49,18.25,27.114286,74.832,13.424,11.554,48.22112281794647,21.966,9.814,3.477,2.912,0.4898744
